"SCIENTIFIC NAME","OBSERVATION COUNT","LATITUDE","LONGITUDE","OBSERVATION DATE"
"Pycnonotus penicillatus","4",6.8683276,80.8205795,"2/7/14"
"Pycnonotus penicillatus","1",6.953947,80.7805824,"2/20/14"
"Pycnonotus penicillatus","6",6.9674935,80.7675362,"2/20/14"
"Pycnonotus penicillatus","6",6.8017992,80.8074045,"2/27/14"
"Pycnonotus penicillatus","6",6.93176,80.81201,"2/19/14"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"2/6/14"
"Pycnonotus penicillatus","2",6.8455923,80.7844877,"2/11/14"
"Pycnonotus penicillatus","5",6.9811119,80.769516,"2/15/14"
"Pycnonotus penicillatus","2",6.8455923,80.7844877,"2/10/14"
"Pycnonotus penicillatus","8",6.9529718,80.8186846,"2/19/14"
"Pycnonotus penicillatus","1",6.8114894,80.8037496,"2/27/14"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"2/12/14"
"Pycnonotus penicillatus","4",6.8017992,80.8074045,"2/19/14"
"Pycnonotus penicillatus","10",6.8497098,80.8146358,"2/12/14"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"3/5/14"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"3/5/14"
"Pycnonotus penicillatus","X",6.8389992,80.8118248,"4/5/14"
"Pycnonotus penicillatus","2",6.838941,80.81218,"4/28/14"
"Pycnonotus penicillatus","X",6.9641282,80.7668066,"4/6/14"
"Pycnonotus penicillatus","X",6.9641282,80.7668066,"4/4/14"
"Pycnonotus penicillatus","X",7.2953,80.6363,"4/7/14"
"Pycnonotus penicillatus","2",6.9271937,80.8210087,"7/29/14"
"Pycnonotus penicillatus","1",6.9667267,80.7665062,"7/29/14"
"Pycnonotus penicillatus","1",7.4625602,80.7831573,"7/13/14"
"Pycnonotus penicillatus","X",6.8123644,80.793972,"8/31/14"
"Pycnonotus penicillatus","X",6.8123644,80.793972,"8/31/14"
"Pycnonotus penicillatus","1",6.833195,80.770362,"8/21/14"
"Pycnonotus penicillatus","X",6.9495905,80.7895008,"10/2/14"
"Pycnonotus penicillatus","X",6.9709007,80.7727211,"10/10/14"
"Pycnonotus penicillatus","1",6.9257665,80.8217919,"10/28/14"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"11/5/14"
"Pycnonotus penicillatus","X",6.9677367,80.768671,"11/5/14"
"Pycnonotus penicillatus","X",6.9805125,80.7712349,"11/6/14"
"Pycnonotus penicillatus","X",6.9663221,80.7779002,"11/4/14"
"Pycnonotus penicillatus","5",6.8418967,80.7879639,"11/23/14"
"Pycnonotus penicillatus","X",6.97072,80.768923,"12/18/14"
"Pycnonotus penicillatus","3",6.9674935,80.7675362,"12/13/14"
"Pycnonotus penicillatus","7",6.8312222,80.8070236,"12/31/14"
"Pycnonotus penicillatus","7",6.8312222,80.8070236,"12/31/14"
"Pycnonotus penicillatus","X",6.97072,80.768923,"12/17/14"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"12/14/14"
"Pycnonotus penicillatus","1",6.8017992,80.8074045,"12/29/14"
"Pycnonotus penicillatus","4",6.8017992,80.8074045,"1/21/15"
"Pycnonotus penicillatus","X",6.9662896,80.7798291,"1/1/15"
"Pycnonotus penicillatus","3",6.8017992,80.8074045,"1/20/15"
"Pycnonotus penicillatus","2",6.9891955,80.75037,"1/22/15"
"Pycnonotus penicillatus","X",6.7952178,80.8202435,"1/31/15"
"Pycnonotus penicillatus","4",6.8035805,80.8092499,"1/9/15"
"Pycnonotus penicillatus","10",6.8017992,80.8074045,"1/23/15"
"Pycnonotus penicillatus","5",6.9674935,80.7675362,"1/19/15"
"Pycnonotus penicillatus","X",6.9620514,80.7698676,"1/31/15"
"Pycnonotus penicillatus","1",6.8035805,80.8092499,"1/9/15"
"Pycnonotus penicillatus","1",6.9814496,80.7659805,"1/20/15"
"Pycnonotus penicillatus","3",6.9257665,80.8221889,"1/20/15"
"Pycnonotus penicillatus","10",6.8096372,80.8185196,"1/23/15"
"Pycnonotus penicillatus","5",6.7991146,80.7671928,"1/28/15"
"Pycnonotus penicillatus","X",6.7952178,80.8202435,"1/12/15"
"Pycnonotus penicillatus","3",6.9674935,80.7675362,"2/8/15"
"Pycnonotus penicillatus","X",6.9693348,80.7691758,"2/17/15"
"Pycnonotus penicillatus","X",6.970745,80.767918,"2/17/15"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"2/19/15"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"2/6/15"
"Pycnonotus penicillatus","2",6.953947,80.7805824,"2/19/15"
"Pycnonotus penicillatus","3",6.833195,80.770362,"2/24/15"
"Pycnonotus penicillatus","35",6.8128359,80.7876849,"2/1/15"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"2/10/15"
"Pycnonotus penicillatus","8",6.9674935,80.7675362,"2/15/15"
"Pycnonotus penicillatus","X",6.8149438,80.8053875,"2/18/15"
"Pycnonotus penicillatus","X",6.839401,80.8121675,"2/18/15"
"Pycnonotus penicillatus","10",6.95654,80.78461,"2/10/15"
"Pycnonotus penicillatus","X",6.8149438,80.8053875,"2/18/15"
"Pycnonotus penicillatus","3",6.9674935,80.7675362,"2/17/15"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"2/1/15"
"Pycnonotus penicillatus","4",6.9674935,80.7675362,"2/26/15"
"Pycnonotus penicillatus","1",6.9674935,80.7675362,"2/23/15"
"Pycnonotus penicillatus","2",6.9674935,80.7675362,"2/19/15"
"Pycnonotus penicillatus","1",6.93176,80.81201,"2/10/15"
"Pycnonotus penicillatus","7",6.8017992,80.8074045,"2/24/15"
"Pycnonotus penicillatus","X",6.8017992,80.8074045,"2/12/15"
