Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.25862E-4,19.758502631,0.136979667,0.039836262,0.055555556,0
3.29117E-4,20.021016538,0.138249024,0.03903754,0.055555556,0
3.30526E-4,20.251965252,0.138797517,0.038338658,0.055555556,0
3.33641E-4,20.517760414,0.140009614,0.037539936,0.055555556,0
3.35691E-4,20.75234575,0.14080627,0.036841054,0.055555556,0
3.38915E-4,21.056391186,0.142057576,0.035942492,0.055555556,0
3.41383E-4,21.294784014,0.143014288,0.03524361,0.055555556,0
3.4217E-4,21.534011465,0.143319052,0.034544728,0.055555556,0
3.45456E-4,21.774924019,0.144590738,0.033845847,0.055555556,0
3.48773E-4,22.018535648,0.145872741,0.033146965,0.055555556,0
3.51437E-4,22.369370956,0.146900562,0.032148562,0.055555556,0
3.52123E-4,22.510109608,0.14716511,0.031749201,0.055555556,0
3.57078E-4,22.758579882,0.149073446,0.031050319,0.055555556,0
3.61659E-4,23.01000075,0.15083403,0.030351438,0.055555556,0
3.65515E-4,23.264196706,0.152312802,0.029652556,0.055555556,0
3.68639E-4,23.558330253,0.153509293,0.028853834,0.055555556,0
3.72755E-4,23.781576375,0.155082997,0.028254792,0.055555556,0
3.74587E-4,24.005781834,0.155782506,0.027655751,0.055555556,0
3.75872E-4,24.268586598,0.156272653,0.026956869,0.055555556,0
3.81612E-4,24.533921515,0.158459433,0.026257987,0.055555556,0
3.85796E-4,24.840502599,0.16004947,0.025459265,0.055555556,0
3.87179E-4,25.033857655,0.160574666,0.024960064,0.055555556,0
3.90397E-4,25.266834964,0.161794881,0.024361022,0.055555556,0
3.9525E-4,25.502646225,0.163631926,0.023761981,0.055555556,0
3.98368E-4,25.780864181,0.164809911,0.023063099,0.111111111,0
4.14983E-4,26.025797649,0.171059854,0.022464058,0.111111111,0
4.26148E-4,26.279518977,0.17523362,0.021865016,0.111111111,0
4.4991E-4,26.501838081,0.184046244,0.021365815,0.111111111,0
4.69842E-4,26.777118085,0.191365481,0.020766773,0.111111111,0
4.89357E-4,27.017365582,0.198468364,0.020267572,0.111111111,0
4.97238E-4,27.264978134,0.201319102,0.019768371,0.111111111,0
5.37575E-4,27.580280965,0.215751438,0.019169329,0.166666667,0
5.57961E-4,27.800888551,0.222946203,0.018769968,0.166666667,0
5.87093E-4,28.030033264,0.233112947,0.018370607,0.166666667,0
5.98109E-4,28.267404027,0.236922773,0.017971246,0.166666667,0
6.67933E-4,28.52903019,0.260633927,0.017571885,0.166666667,0
6.95379E-4,28.802801217,0.269751407,0.017172524,0.166666667,0
7.09248E-4,29.014765083,0.274315674,0.016873003,0.166666667,0
7.57621E-4,29.312534113,0.290013059,0.016473642,0.166666667,0
8.17213E-4,29.554359383,0.30888539,0.016174121,0.166666667,0
8.59866E-4,29.80650405,0.322084278,0.015874601,0.166666667,0
9.51294E-4,30.080915212,0.349533559,0.01557508,0.166666667,0
9.74877E-4,30.27410842,0.356431732,0.015375399,0.166666667,0
9.75898E-4,30.566775602,0.356728554,0.015075879,0.166666667,0
1.0084E-3,30.766039783,0.36611215,0.014876198,0.166666667,0
1.05114E-3,31.076831975,0.378242893,0.014576677,0.166666667,0
1.08259E-3,31.290266004,0.38701936,0.014376997,0.166666667,0
1.13456E-3,31.516778124,0.401254149,0.014177316,0.166666667,0
1.18774E-3,31.86636882,0.41547743,0.013877796,0.166666667,0
1.22764E-3,32.229723619,0.425925911,0.013578275,0.166666667,0
1.24298E-3,32.354021696,0.429893774,0.013478435,0.166666667,0
1.26697E-3,32.605150909,0.436043086,0.013278754,0.166666667,0
1.28369E-3,32.861037419,0.440291311,0.013079073,0.166666667,0
1.30363E-3,33.120782879,0.445313695,0.012879393,0.166666667,0
1.32529E-3,33.253311707,0.450717578,0.012779553,0.166666667,0
1.35487E-3,33.52299711,0.45801469,0.012579872,0.166666667,0
1.37948E-3,33.797509605,0.464011461,0.012380192,0.166666667,0
1.43352E-3,34.081659231,0.476946041,0.012180511,0.222222222,0
1.45503E-3,34.371185591,0.482008851,0.011980831,0.222222222,0
1.46595E-3,34.517780803,0.484560069,0.01188099,0.222222222,0
1.50478E-3,34.817632832,0.493528342,0.01168131,0.222222222,0
1.51745E-3,35.120523253,0.496420997,0.011481629,0.222222222,0
1.52699E-3,35.273222741,0.498589928,0.011381789,0.222222222,0
1.5735E-3,35.587922606,0.509021507,0.011182109,0.222222222,0
